page_chunk,page_number,group_value,group_confidence,group_notes_value,group_notes_confidence,series_value,series_confidence,series_notes_value,series_notes_confidence,unit_value,unit_confidence,finding_aid_reference_raw_value,finding_aid_reference_raw_confidence,text_value,text_confidence,start_date_original_value,start_date_original_confidence,end_date_original_value,end_date_original_confidence,start_date_formatted_value,start_date_formatted_confidence,end_date_formatted_value,end_date_formatted_confidence,annotations
2,6-10,,,,,,,,,Unit 22,5/5,(6),5/5,"Mortgage. McKenzie to Wm. ADAMSON, Melb., seedsman. £500 on allot. 6, sect. 17 (see 3 above), and equipment of coffee-grinding business. 1861, 14 Feb. 4 sheets.",5/5,"1861, 14 Feb.",5/5,,,1861-02-14,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(7),5/5,"Deed of Settlement. McKenzie to Adamson. £350 to be settled on Robt. Harper the younger. Adamson to be trustee until Harper is of age. Includes also conclusion of trust 18 March 1863. 1861, 8 Nov. 1 sheet.",5/5,"1861, 8 Nov.",5/5,18 March 1863,5/5,1861-11-08,5/5,1863-03-18,5/5,[]
2,6-10,,,,,,,,,Unit 22,5/5,(8),5/5,"Power of Attorney. McKenzie to Adamson, or him failing, Robt. Walker, Melb., grocer. During a short absence from colony. 1861, 8 Nov. 3 sheets.",5/5,"1861, 8 Nov.",5/5,,,1861-11-08,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(9),5/5,"Declaration. Mrs. Robt. Harper re date of her marriage and birth of son. 1863, 5 Feb. 1 sheet.",5/5,"1863, 5 Feb.",5/5,,,1863-02-05,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(10),5/5,"Power of Attorney. Farquharson SMITH to Wm. ADAMSON. 1863, 13 Feb. 1 sheet.",5/5,"1863, 13 Feb.",5/5,,,1863-02-13,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(11),5/5,"License to use Patent. McKenzie to firm Messrs. J.F. McKenzie & Co. Re an invention ""for Improvements in Roasting Coffee and other Seeds and Roots and also in drying grain"". 1863, 2 April. 1 sheet (in duplicate).",5/5,"1863, 2 April.",5/5,,,1863-04-02,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(12),5/5,"Articles of Partnership. J.F. McKenzie, Wm. Adamson and Robt. Harper jnr. Coffee roasting business of J.F. McKenzie & Co., 3 Queen St., Melb. Capital £6000. 1863, 2 April. 7 sheets Note: Incorporates also 13 below.",5/5,"1863, 2 April.",5/5,,,1863-04-02,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(13),5/5,"Additional Agreement. Substitutes Geo. Miller, McKenzie's brother-in-law, for McKenzie who is to retire because of ill-health. 1864, 20 Dec. 2 sheets, incorporated in 12 above.",5/5,"1864, 20 Dec.",5/5,,,1864-12-20,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(14),5/5,"Notes, memos re above deeds 11 to 13. 1861-3. 5 sheets.",5/5,1861,5/5,1863,5/5,1861-01-01,5/5,1863-01-01,5/5,[]
2,6-10,,,,,,,,,Unit 22,5/5,(15),5/5,"Declaration. Wm. THOMPSON, M.D., to effect that paralysis prevents McKenzie from writing. 1866, 6 July. 1 sheet.",5/5,"1866, 6 July.",5/5,,,1866-07-06,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(16),5/5,"Assignment of lease. Geo. MILLER and Wm. ADAMSON, coffee roasters, Melb. to Wm. PETERSON, John Scott PETERSON, both merchants, and Robert SMITH, coffee roaster, all of Melbourne. Part of allot. 8, sect. 3, City of Melb., and buildings thereon. 1867, 4 March. 2 sheets.",5/5,"1867, 4 March.",5/5,,,1867-03-04,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(17),5/5,"Assignment of Patent. Wm. ADAMSON to Messrs. PETERSON and SMITH. Patent is same as in 11 above. 1867, 5 March. 1 sheet.",5/5,"1867, 5 March.",5/5,,,1867-03-05,5/5,,,[]
2,6-10,,,,,,,,,Unit 22,5/5,(18),5/5,"Lease. Wm. ADAMSON, seedsman, Melb. to Thos. BRUNTON, Melb., merchant; Alexander RUSSELL, Malmesbury, engineer; and Alexander GILLESPIE, Melbourne, miller. Allot 21, sect. 1, City of Melb. Includes corner Lit. Flinders and Spencer Sts., with consent of mortgagees, Sir Jas. Frederick PALMER, Sir Francis MURPHY, and Hon. James HENTY. 1869, 20 May. 3 sheets.",5/5,"1869, 20 May.",5/5,,,1869-05-20,5/5,,,[]
2,6-10,,,,,"AFFLECK, James.",5/5,,,Unit 1,5/5,7.,5/5,"AFFLECK, James. Release from mortgage and Re-assignment. James AFFLECK, Kybybotite, W. Wimmera District to James FLETCHER, late of Pleasant Banks station, now of Green Mount nr. Portland, executor of will of Wm. AFFLECK, late of Pleasant Banks, squatter. Mortgage had been stock on Pleasant Banks and certain goods and chattels. 1867, 22 June. 1 sheet, 1987. Note: See also 263/1/17.",5/5,"1867, 22 June.",5/5,,,1867-06-22,5/5,,,[]
2,6-10,,,,,"ALLISON, Joseph, and brothers.",4/5,,,Unit 1,5/5,8.,5/5,"ALLISON, Joseph, and brothers. (1) Deed of Partnership. Joseph, Thos. Herbert and Albert Henry ALLISON, all of Melb. To carry on business of Undertakers and Funeral Directors, at North Melbourne and Moonee Ponds. 1917, 4 Sept. 4 sheets. 1075.",4/5,"1917, 4 Sept.",5/5,,,1917-09-04,5/5,,,"[{""value"": ""P7"", ""confidence"": ""3/5""}]"
2,6-10,,,,,,,,,Unit 1,5/5,(2),5/5,"Certificate of Registration. Firm as above. 1917, 6 Sept. 1 sheet. 1075.",5/5,"1917, 6 Sept.",5/5,,,1917-09-06,5/5,,,[]
2,6-10,,,,,"ALLISON, Henry.",5/5,,,Unit 1,5/5,9.,5/5,"ALLISON, Henry. Mortgage. Edw. Wm. ALLISON to Henry ALLISON. Edw. Wm. is a builder at Springhill and Henry is an undertaker at Melbourne. £200 on lot ?20, parish of Springhill, county Talbot. 1864, 20 April. 1 sheet. 1815.",4/5,"1864, 20 April.",5/5,,,1864-04-20,5/5,,,[]
2,6-10,,,,,"ANDERSON, Francis.",5/5,,,Unit 1,5/5,10.,5/5,"ANDERSON, Francis. Covenant to produce power of attorney. Thos. MILLER, Melb., gent. with Francis ANDERSON. 1855, 9 April. 1 sheet. 1803.",5/5,"1855, 9 April.",5/5,,,1855-04-09,5/5,,,[]
2,6-10,,,,,ANDREWS' ESTATE.,5/5,,,Unit 1,5/5,11.,5/5,"ANDREWS' ESTATE. (1) Marriage settlement. Capt. F.E. APPLEYARD, Naval and Military Club, Westminster to Miss Louisa ANDREW, Bayswater, England. Settlement by Mrs. Louisa FOWLER (formerly Mrs. ANDREW) of ½ share of land in Melb., being allot. 13, sect. 4, partly bounded by Collins St., this being land settled on her on her marriage with Alexander ANDREW Esq. deceased. 1855, 7 Dec. 5 sheets. 12451.",5/5,"1855, 7 Dec.",5/5,,,1855-12-07,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(2),5/5,"Ditto. Capt. Henry Rushworth WRANISLAW, R.N., Rugby with Mary Ann ANDREW, Thames Ditton, England. Same provision as for Louisa (see 1 above). 1870, 19 July. 6 sheets. 12451. Note: Nos. 3 to 8 below refer to piece of land, allot. 13, sect. 4.",4/5,"1870, 19 July.",5/5,,,1870-07-19,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(3),5/5,"Grant by Purchase. Thos. HOOD, Melbourne. 1838, 10 March. 2 sheets. 12451.",5/5,"1838, 10 March.",5/5,,,1838-03-10,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(4),5/5,"Re-Lease. Thos. HOOD, Melbourne, yeoman to Jonathan CLERKE, M.D., Melb. Note: Re-leases are virtually sales. 1837, 18 Sept. 2 sheets. 12451.",5/5,"1837, 18 Sept.",5/5,,,1837-09-18,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(5),5/5,"Ditto. Jonathan CLERKE by the direction of Robt. REEVES, merchant to David PATRICK, M.D. and Wm. HIGHETT, trustee, all of Melbourne. 1839, 14-15 Oct. 2 sheets.",5/5,"1839, 14 Oct.",5/5,"1839, 15 Oct.",5/5,1839-10-14,5/5,1839-10-15,5/5,[]
2,6-10,,,,,,,,,Unit 1,5/5,(6),5/5,"Ditto. David PATRICK, Cathkin, Goulburn River to George LILLY, auctioneer, and Wm. EMPSON, linen draper, Melbourne. 1840, 24 Oct. 2 sheets.",5/5,"1840, 24 Oct.",5/5,,,1840-10-24,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(7),5/5,"Mortgage. Geo. LILLY to David PATRICK. 1840, 27 Oct. 2 sheets.",5/5,"1840, 27 Oct.",5/5,,,1840-10-27,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(8),5/5,"Transfer of Mortgage. David PATRICK to John Moffatt CHISHOLM, merchant, Melbourne. 1842, 22 and 24 Jan. 4 sheets.",5/5,"1842, 22 Jan.",5/5,"1842, 24 Jan.",5/5,1842-01-22,5/5,1842-01-24,5/5,[]
2,6-10,,,,,,,,,Unit 1,5/5,(9),5/5,"Conveyance of the Equity of Redemption. Geo. LILLY, and his trustee John Pascoe FAWKNER to John Moffatt CHISHOLM, trustee for James PURVES, all of Melbourne. 1842, 9 May. 2 sheets.",5/5,"1842, 9 May.",5/5,,,1842-05-09,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(10),5/5,"Declaration of Lewis WINCKWORTH. As to present trustees of the marriage settlement (2) above. 1904, 24 June. 4 sheets.",5/5,"1904, 24 June.",5/5,,,1904-06-24,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(11),5/5,"Declaration of Frederick Ernst APPLEYARD. As to his being the sole surviving trustee of the marriage settlement (1) above. 1904, 28 June. 4 sheets.",5/5,"1904, 28 June.",5/5,,,1904-06-28,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(12),5/5,"Scrip certificates for shares in The Great Dargo Flat Bucket Gold Dredging Syndicate, Dargo River, Gippsland. Issued to M. Melvin. Marked ""Received as security for rent from Isaacs, 24 July 1908"". 6 sheets. 329.",5/5,24 July 1908,5/5,,,1908-07-24,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(13),5/5,"Memorandum of Terms of Settlement. Sydney ISAACS with Appleyard and others v. R.E. LEWIS. 1908, 1 July. 357. 4 sheets.",5/5,"1908, 1 July.",5/5,,,1908-07-01,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(14),5/5,"Surrender and Indemnity, Refers to (13) above. 1908, 11 July. 1 sheet. 357.",5/5,"1908, 11 July.",5/5,,,1908-07-11,5/5,,,[]
2,6-10,,,,,,,,,Unit 1,5/5,(15),5/5,"Statutory Declaration. By Isaacs. Refers to (13) above. 1908, 11 July. 1 sheet. 357.",5/5,"1908, 11 July.",5/5,,,1908-07-11,5/5,,,[]
2,6-10,,,,,"ARMSTRONG, John.",5/5,,,Unit 2,5/5,12.,5/5,"ARMSTRONG, John. (1) Agreement. John ARMSTRONG, George MARSHALL and Abiel Meshelemiah Joseph SAVILL, all of Melbourne. Armstrong transfers his interest in Cosgrave's Hotel, Swanston St., Melbourne to Savill with Marshall's acquiescence. 1861, 10 Sept. 2 sheets. 1710.",5/5,"1861, 10 Sept.",5/5,,,1861-09-10,5/5,,,"[{""value"": ""JO"", ""confidence"": ""2/5""}]"
2,6-10,,,,,,,,,Unit 2,5/5,(2),5/5,"Letter, Charles BROWN, lessor of Cosgrave's Hotel, to Armstrong and Savill. Agrees to substitution of Savill in lease. 1861, 10 Sept. 1 sheet. 1710.",5/5,"1861, 10 Sept.",5/5,,,1861-09-10,5/5,,,[]
2,6-10,,,,,,,,,Unit 2,5/5,(3),5/5,"Rough draft of (1) above. 1861, 6 Sept. 1 sheet. 1710.",5/5,"1861, 6 Sept.",5/5,,,1861-09-06,5/5,,,[]
2,6-10,,,,,ARNOLD & SHEEHY.,5/5,,,Unit 2,5/5,13.,5/5,"ARNOLD & SHEEHY. Conveyance and assignment for the benefit of creditors. Albert George ARNOLD and Peter Francis SHEEHY, chemists and druggists, 104 Bourke St. east, Melbourne to John R. DUERDIN and Frederick HEMMONS, wholesale druggists, and other creditors. 1878, 16 Feb. 8 sheets. 2428.",5/5,"1878, 16 Feb.",5/5,,,1878-02-16,5/5,,,[]
